title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time,,
How immunity shapes the long-term dynamics of influenza H3N2,"O Eales, FM Shearer, JM McCaw",2025,2,"â€?rate of influenza H3N2 is poorly characterised. We selected model parameters so that the average annual attack rate â€?where is the boosting parameter, Ï‰ is the waning parameter, and is â€?,vFpEd9TtY7YJ,O Eales", FM Shearer, JM McCaw - PLOS Computational Biology," 2025 - journals.plos.org""",[],https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012893,unknown,unknown,
Critical immune and vaccination thresholds for determining multiple influenza epidemic waves,"L Matrajt, IM Longini Jr",2012,27,"â€?influenza pandemics (1918, 1957, and 1968) have all had multiple waves. The 2009 pandemic influenza A (H1N1) (pandemic H1N1) â€?The ratio of susceptible and immune individuals in â€?,x-9aHyhs9fUJ,L Matrajt", IM Longini Jr - Epidemics," 2012 - Elsevier""",[],https://www.sciencedirect.com/science/article/pii/S1755436511000570,unknown,unknown,,
A dynamical model of human immune response to influenza A virus infection,"B Hancioglu, D Swigon, G Clermont",2007,264,"We present a simplified dynamical model of immune response to uncomplicated influenza A virus (IAV) infection, which focuses on the control of the infection by the innate and adaptive â€?,U-mexlYyO5MJ,B Hancioglu", D Swigon, G Clermont - Journal of theoretical biology," 2007 - Elsevier""",[],https://www.sciencedirect.com/science/article/pii/S0022519306005820,unknown,unknown,
Timescales of influenza A/H3N2 antibody dynamics,"AJ Kucharski, J Lessler, DAT Cummings, S Riley",2018,77,"â€?with influenza A/H3N2, we used a dynamic model of immune â€?Our results suggest that this error parameter is well identified â€?2 was a boosting parameter, Ï‰ was a waning parameter to be â€?,sYjOMUN1pGsJ,AJ Kucharski", J Lessler, DAT Cummings, S Riley - PLoS Biology," 2018 - journals.plos.org""",[],https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.2004974,unknown,unknown
Mathematical modeling and symmetry analysis of the impact of vaccination on the dynamics of influenza virus disease,"A Raza, I Alazman, STR Rizvi, K Ali, B Seiduâ€?,2025,5,â€?Chatterjee et al. formulated a mathematical framework of H1N1 influenza that â€?\omega \) shows the ratio of newborns vaccinated individuals. The parameter \(\eta \) is the vaccination rate â€?R0MwNMZyTmUJ,A Raza", I Alazman, STR Rizvi, K Ali," B Seiduâ€?- The European Physical â€? 2025 - Springer""",[],https://link.springer.com/article/10.1140/epjp/s13360-025-07092-4,unknown,unknown,,,
Models for influenza,"F Brauer, C Castillo-Chavez, Z Feng",2019,10,"â€?Also, model parameters for the H1N1 influenza pandemic of â€?(9.1) using parameters appropriate for the 1957 influenza â€?healthy adults, full immunity to H1N1 influenza is achieved about â€?,neN-ApuaPKIJ,F Brauer", C Castillo-Chavez," Z Feng - Mathematical Models in â€? 2019 - Springer""",[],https://link.springer.com/chapter/10.1007/978-1-4939-9828-9_9,unknown,unknown,,
Mathematical modeling and numerical simulations of influenza transmission dynamics with structured infectious population,"A Raza, K Ali, S Sattar, SE Fadugbaâ€?,2025,3,â€?[ 20 ] studied a bifurcation analysis of the influenza A (H1N1) â€?The impact of various parameters on the model population â€?class", which gradually loses immunity at a rate Ï‰ $\omega$ , â€?,yKkvpCimPMYJ,"A Raza, K Ali, S Sattar, SE Fadugbaâ€?- Advanced Theory and â€? 2025 - Wiley Online Library",[],https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adts.202500236,unknown,unknown,,,
Optimal control and sensitivity analysis of an influenza model with treatment and vaccination,"JM Tchuenche, SA Khamis, FB Agusto, SC Mpeshe",2011,165,"â€?A virus (H1N1), has resulted in the biggest influenza disaster â€?Herein, it is also shown to be the most sensitive parameter in â€?which involve the vaccine waning rate, increased vaccination â€?,daptbpyRPUgJ,JM Tchuenche", SA Khamis, FB Agusto, SC Mpeshe - Acta biotheoretica," 2011 - Springer""",[],https://link.springer.com/article/10.1007/s10441-010-9095-8,unknown,unknown
A vaccination model for transmission dynamics of influenza,"ME Alexander, C Bowman, SM Moghadasâ€?,2004,262,â€?The H1N1 and H3N2 are the most common strains â€?", it follows from Lemma 4.1 that the omega-limit set of each solution â€?With specified demography and parameter values, our model will â€?,JGZbxIpftzoJ,"ME Alexander, C Bowman, SM Moghadasâ€?- SIAM Journal on Applied â€? 2004 - SIAM",[],https://epubs.siam.org/doi/abs/10.1137/030600370,unknown,unknown,,,
Exploring the interaction of influenza A subtypes H1N1 and H3N2 based on an evolution-driven transmission model,"G Wang, B Zhang, S Liang, F Tang, Y Zhao, D Tianâ€?,2022,3,â€?of susceptible people [22]", so the immune waning of H1N1 and H3N2 is given by: â€?In order to verify the generality of our model and the key parameters (\({c}_{i}, \xi , \omega \)), the model â€?,nuX3WMuEFFwJ,"G Wang, B Zhang, S Liang, F Tang, Y Zhao, D Tianâ€?- Nonlinear â€? 2022 - Springer",[],https://link.springer.com/article/10.1007/s11071-022-07661-7,unknown,unknown,
