iso_year,iso_week,week_start,spec_processed,h3n2_positive,inf_all,inf_a,inf_b,h3n2_pct,inf_pct,ili_activity,ili_pct
2005,39,2005-09-26,337.0,6.0,38.0,29.0,9.0,0.0178,0.1128,1.0,2.02
2005,40,2005-10-03,261.0,0.0,13.0,13.0,0.0,0.0,0.0498,1.0,2.25
2005,41,2005-10-10,544.0,3.0,46.0,43.0,3.0,0.0055,0.0846,1.0,2.27
2005,42,2005-10-17,849.0,3.0,106.0,64.0,42.0,0.0035,0.1249,1.0,2.33
2005,43,2005-10-24,1086.0,5.0,124.0,113.0,11.0,0.0046,0.1142,1.0,2.05
2005,44,2005-10-31,964.0,6.0,166.0,147.0,19.0,0.0062,0.1722,1.0,2.23
2005,45,2005-11-07,1117.0,0.0,146.0,139.0,7.0,0.0,0.1307,1.0,2.93
2005,46,2005-11-14,1193.0,2.0,199.0,180.0,19.0,0.0017,0.1668,1.0,2.86
2005,47,2005-11-21,1198.0,2.0,207.0,189.0,18.0,0.0017,0.1728,1.0,2.75
2005,48,2005-11-28,1247.0,3.0,198.0,187.0,11.0,0.0024,0.1588,1.0,2.62
2005,49,2005-12-05,1136.0,1.0,166.0,155.0,11.0,0.0009,0.1461,1.0,3.26
2005,50,2005-12-12,1141.0,3.0,183.0,160.0,23.0,0.0026,0.1604,1.0,3.2
2005,51,2005-12-19,1195.0,15.0,217.0,185.0,32.0,0.0126,0.1816,1.0,3.22
2005,52,2005-12-26,1208.0,12.0,216.0,169.0,47.0,0.0099,0.1788,1.0,3.17
2006,1,2006-01-02,808.0,2.0,141.0,92.0,49.0,0.0025,0.1745,1.0,3.19
2006,2,2006-01-09,1107.0,12.0,243.0,170.0,73.0,0.0108,0.2195,1.0,3.3
2006,3,2006-01-16,980.0,11.0,170.0,118.0,52.0,0.0112,0.1735,1.0,3.14
2006,4,2006-01-23,673.0,8.0,82.0,59.0,23.0,0.0119,0.1218,1.0,3.37
2006,5,2006-01-30,212.0,1.0,19.0,15.0,4.0,0.0047,0.0896,1.0,3.39
2006,6,2006-02-06,591.0,3.0,55.0,37.0,18.0,0.0051,0.0931,1.0,3.01
2006,7,2006-02-13,814.0,7.0,89.0,45.0,44.0,0.0086,0.1093,1.0,3.11
2006,8,2006-02-20,1056.0,10.0,160.0,40.0,120.0,0.0095,0.1515,1.0,3.2
2006,9,2006-02-27,1156.0,10.0,180.0,43.0,137.0,0.0087,0.1557,1.0,3.13
2006,10,2006-03-06,1383.0,3.0,208.0,46.0,162.0,0.0022,0.1504,1.0,2.55
2006,11,2006-03-13,1219.0,9.0,220.0,20.0,200.0,0.0074,0.1805,1.0,2.77
2006,12,2006-03-20,1428.0,3.0,217.0,27.0,190.0,0.0021,0.152,1.0,2.3
2006,13,2006-03-27,1264.0,2.0,213.0,22.0,191.0,0.0016,0.1685,1.0,2.56
2006,39,2006-09-25,598.0,6.0,26.0,18.0,8.0,0.01,0.0435,1.0,1.8
2006,40,2006-10-02,204.0,1.0,7.0,5.0,2.0,0.0049,0.0343,1.0,2.03
2006,41,2006-10-09,603.0,4.0,26.0,12.0,14.0,0.0066,0.0431,1.0,2.3
2006,42,2006-10-16,737.0,1.0,8.0,8.0,0.0,0.0014,0.0109,1.0,2.21
2006,43,2006-10-23,744.0,1.0,11.0,6.0,5.0,0.0013,0.0148,1.0,2.17
2006,44,2006-10-30,779.0,1.0,22.0,11.0,11.0,0.0013,0.0282,1.0,2.3
2006,45,2006-11-06,794.0,1.0,5.0,4.0,1.0,0.0013,0.0063,1.0,2.83
2006,46,2006-11-13,865.0,0.0,10.0,6.0,4.0,0.0,0.0116,1.0,2.59
2006,47,2006-11-20,883.0,5.0,21.0,17.0,4.0,0.0057,0.0238,1.0,2.86
2006,48,2006-11-27,867.0,16.0,34.0,26.0,8.0,0.0185,0.0392,1.0,3.08
2006,49,2006-12-04,1027.0,43.0,82.0,65.0,17.0,0.0419,0.0798,1.0,3.9
2006,50,2006-12-11,1209.0,37.0,108.0,88.0,20.0,0.0306,0.0893,1.0,3.59
2006,51,2006-12-18,1323.0,85.0,166.0,136.0,30.0,0.0642,0.1255,1.0,4.24
2006,52,2006-12-25,1590.0,174.0,283.0,247.0,36.0,0.1094,0.178,1.0,4.96
2007,1,2007-01-01,820.0,120.0,208.0,180.0,28.0,0.1463,0.2537,1.0,5.4
2007,2,2007-01-08,1618.0,293.0,460.0,397.0,63.0,0.1811,0.2843,1.0,6.22
2007,3,2007-01-15,1808.0,334.0,473.0,434.0,39.0,0.1847,0.2616,1.0,6.1
2007,4,2007-01-22,1698.0,267.0,389.0,340.0,49.0,0.1572,0.2291,1.0,5.56
2007,5,2007-01-29,1311.0,203.0,259.0,232.0,27.0,0.1548,0.1976,1.0,5.53
2007,6,2007-02-05,1069.0,188.0,237.0,214.0,23.0,0.1759,0.2217,1.0,5.72
2007,7,2007-02-12,658.0,84.0,116.0,99.0,17.0,0.1277,0.1763,1.0,4.98
2007,8,2007-02-19,254.0,17.0,29.0,23.0,6.0,0.0669,0.1142,1.0,3.88
2007,9,2007-02-26,698.0,57.0,73.0,62.0,11.0,0.0817,0.1046,1.0,4.13
2007,10,2007-03-05,690.0,41.0,74.0,52.0,22.0,0.0594,0.1072,1.0,3.32
2007,11,2007-03-12,914.0,89.0,167.0,96.0,71.0,0.0974,0.1827,1.0,3.84
2007,12,2007-03-19,769.0,64.0,129.0,71.0,58.0,0.0832,0.1678,1.0,3.72
2007,13,2007-03-26,798.0,57.0,122.0,72.0,50.0,0.0714,0.1529,1.0,3.37
2007,40,2007-10-01,71.0,0.0,2.0,0.0,2.0,0.0,0.0282,1.0,2.21
2007,41,2007-10-08,320.0,2.0,23.0,3.0,20.0,0.0062,0.0719,1.0,2.26
2007,42,2007-10-15,469.0,22.0,49.0,22.0,27.0,0.0469,0.1045,1.0,2.98
2007,43,2007-10-22,412.0,5.0,25.0,8.0,17.0,0.0121,0.0607,1.0,2.22
2007,44,2007-10-29,478.0,6.0,32.0,8.0,24.0,0.0126,0.0669,1.0,2.31
2007,45,2007-11-05,476.0,19.0,60.0,19.0,41.0,0.0399,0.1261,1.0,3.3
2007,46,2007-11-12,572.0,4.0,49.0,10.0,39.0,0.007,0.0857,1.0,2.89
