iso_year,iso_week,week_start,spec_processed,h3n2_positive,inf_all,inf_a,inf_b,h3n2_pct,inf_pct,ili_activity,ili_pct
2005,39,2005/9/26,337,6,38,29,9,0.0178,0.1128,1,
2005,40,2005/10/3,261,0,13,13,0,0,0.0498,1,
2005,41,2005/10/10,544,3,46,43,3,0.0055,0.0846,1,
2005,42,2005/10/17,849,3,106,64,42,0.0035,0.1249,1,
2005,43,2005/10/24,1086,5,124,113,11,0.0046,0.1142,1,
2005,44,2005/10/31,964,6,166,147,19,0.0062,0.1722,1,
2005,45,2005/11/7,1117,0,146,139,7,0,0.1307,1,
2005,46,2005/11/14,1193,2,199,180,19,0.0017,0.1668,1,
2005,47,2005/11/21,1198,2,207,189,18,0.0017,0.1728,1,
2005,48,2005/11/28,1247,3,198,187,11,0.0024,0.1588,1,
2005,49,2005/12/5,1136,1,166,155,11,0.0009,0.1461,1,
2005,50,2005/12/12,1141,3,183,160,23,0.0026,0.1604,1,
2005,51,2005/12/19,1195,15,217,185,32,0.0126,0.1816,1,
2005,52,2005/12/26,1208,12,216,169,47,0.0099,0.1788,1,
2006,1,2006/1/2,808,2,141,92,49,0.0025,0.1745,1,
2006,2,2006/1/9,1107,12,243,170,73,0.0108,0.2195,1,
2006,3,2006/1/16,980,11,170,118,52,0.0112,0.1735,1,
2006,4,2006/1/23,673,8,82,59,23,0.0119,0.1218,1,
2006,5,2006/1/30,212,1,19,15,4,0.0047,0.0896,1,
2006,6,2006/2/6,591,3,55,37,18,0.0051,0.0931,1,
2006,7,2006/2/13,814,7,89,45,44,0.0086,0.1093,1,
2006,8,2006/2/20,1056,10,160,40,120,0.0095,0.1515,1,
2006,9,2006/2/27,1156,10,180,43,137,0.0087,0.1557,1,
2006,10,2006/3/6,1383,3,208,46,162,0.0022,0.1504,1,
2006,11,2006/3/13,1219,9,220,20,200,0.0074,0.1805,1,
2006,12,2006/3/20,1428,3,217,27,190,0.0021,0.152,1,
2006,13,2006/3/27,1264,2,213,22,191,0.0016,0.1685,1,
2006,39,2006/9/25,598,6,26,18,8,0.01,0.0435,1,
2006,40,2006/10/2,204,1,7,5,2,0.0049,0.0343,1,
2006,41,2006/10/9,603,4,26,12,14,0.0066,0.0431,1,
2006,42,2006/10/16,737,1,8,8,0,0.0014,0.0109,1,
2006,43,2006/10/23,744,1,11,6,5,0.0013,0.0148,1,
2006,44,2006/10/30,779,1,22,11,11,0.0013,0.0282,1,
2006,45,2006/11/6,794,1,5,4,1,0.0013,0.0063,1,
2006,46,2006/11/13,865,0,10,6,4,0,0.0116,1,
2006,47,2006/11/20,883,5,21,17,4,0.0057,0.0238,1,
2006,48,2006/11/27,867,16,34,26,8,0.0185,0.0392,1,
2006,49,2006/12/4,1027,43,82,65,17,0.0419,0.0798,1,
2006,50,2006/12/11,1209,37,108,88,20,0.0306,0.0893,1,
2006,51,2006/12/18,1323,85,166,136,30,0.0642,0.1255,1,
2006,52,2006/12/25,1590,174,283,247,36,0.1094,0.178,1,
2007,1,2007/1/1,820,120,208,180,28,0.1463,0.2537,1,
2007,2,2007/1/8,1618,293,460,397,63,0.1811,0.2843,1,
2007,3,2007/1/15,1808,334,473,434,39,0.1847,0.2616,1,
2007,4,2007/1/22,1698,267,389,340,49,0.1572,0.2291,1,
2007,5,2007/1/29,1311,203,259,232,27,0.1548,0.1976,1,
2007,6,2007/2/5,1069,188,237,214,23,0.1759,0.2217,1,
2007,7,2007/2/12,658,84,116,99,17,0.1277,0.1763,1,
2007,8,2007/2/19,254,17,29,23,6,0.0669,0.1142,1,
