日期,年份,月份,ISO周,上海H3N2代理阳性率(%),新感染数,新有症状感染数,新无症状感染数,新报告病例数,累计感染数,累计报告病例数,有效易感数_S,潜伏者_E,传染者_I,移除者_R,日感染率_每10万人,日报告发病率_每10万人,beta_eff,Rt_eff,证据等级,锚点区间,阶段
2017-05-15,2017,5,20,1.82,535,449,86,112,535,112,6045290,535,0,0,2.21,0.46,,,C,W20,低位起步
2017-05-16,2017,5,20,1.90,559,470,89,118,1094,230,6044731,737,357,0,2.31,0.49,,,C,W20-W24,低位起步
2017-05-17,2017,5,20,1.99,585,491,94,123,1679,353,6044146,831,729,119,2.42,0.51,1.6405,4.921,C,W20-W24,低位起步
2017-05-18,2017,5,20,2.07,609,512,97,128,2288,481,6043537,886,1040,362,2.52,0.53,0.8352,2.505,C,W20-W24,低位起步
2017-05-19,2017,5,20,2.17,638,536,102,134,2926,615,6042899,933,1284,709,2.64,0.55,0.6137,1.84,C,W20-W24,低位起步
2017-05-20,2017,5,20,2.25,662,556,106,139,3588,754,6042237,973,1478,1137,2.74,0.57,0.5158,1.547,C,W20-W24,低位起步
2017-05-21,2017,5,20,2.34,688,578,110,144,4276,898,6041549,1012,1634,1629,2.84,0.60,0.4657,1.396,C,W20-W24,低位起步
2017-05-22,2017,5,21,2.43,715,601,114,150,4991,1048,6040834,1052,1764,2174,2.96,0.62,0.4378,1.313,C,W20-W24,低位起步
2017-05-23,2017,5,21,2.52,741,622,119,156,5732,1204,6040093,1092,1878,2762,3.06,0.65,0.4203,1.26,C,W20-W24,低位起步
2017-05-24,2017,5,21,2.61,768,645,123,161,6500,1365,6039325,1132,1980,3388,3.18,0.67,0.4094,1.227,C,W20-W24,低位起步
2017-05-25,2017,5,21,2.70,794,667,127,167,7294,1532,6038531,1171,2074,4048,3.28,0.69,0.4015,1.203,C,W20-W24,低位起步
2017-05-26,2017,5,21,2.80,824,692,132,173,8118,1705,6037707,1214,2164,4740,3.41,0.72,0.3977,1.192,C,W20-W24,低位起步
2017-05-27,2017,5,21,2.89,850,714,136,178,8968,1883,6036857,1255,2252,5461,3.51,0.74,0.3933,1.178,C,W20-W24,低位起步
2017-05-28,2017,5,21,2.99,880,739,141,185,9848,2068,6035977,1298,2338,6212,3.64,0.76,0.3913,1.172,C,W20-W24,低位起步
2017-05-29,2017,5,22,3.08,906,761,145,190,10754,2258,6035071,1339,2424,6991,3.75,0.79,0.3881,1.163,C,W20-W24,低位起步
2017-05-30,2017,5,22,3.17,933,784,149,196,11687,2454,6034138,1379,2509,7799,3.86,0.81,0.3856,1.155,C,W20-W24,低位起步
2017-05-31,2017,5,22,3.27,962,808,154,202,12649,2656,6033176,1422,2592,8635,3.98,0.84,0.3842,1.15,C,W20-W24,低位起步
2017-06-01,2017,6,22,3.37,991,832,159,208,13640,2864,6032185,1465,2676,9499,4.10,0.86,0.3831,1.147,C,W20-W24,低位起步
2017-06-02,2017,6,22,3.47,1021,858,163,214,14661,3078,6031164,1509,2760,10391,4.22,0.88,0.3824,1.145,C,W20-W24,低位起步
2017-06-03,2017,6,22,3.57,1050,882,168,220,15711,3298,6030114,1553,2847,11311,4.34,0.91,0.3813,1.141,C,W20-W24,低位起步
2017-06-04,2017,6,22,3.67,1080,907,173,227,16791,3525,6029034,1598,2933,12260,4.47,0.94,0.3804,1.138,C,W20-W24,低位起步
2017-06-05,2017,6,23,3.77,1109,932,177,233,17900,3758,6027925,1642,3021,13238,4.59,0.96,0.3792,1.134,C,W20-W24,低位起步
2017-06-06,2017,6,23,3.87,1139,957,182,239,19039,3997,6026786,1686,3108,14245,4.71,0.99,0.3782,1.131,C,W20-W24,低位起步
