day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,18196.0,7800.0,2.0,2.0,0.0,0.0,1020.0,680.0,0.0,0.0,0.0,0.0,480.0,320.0,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,19696.0,8800.0,2.0,2.0,0.0,0.0,28500.0
1.0,18161.889823384965,7790.931214660739,30.9169230303957,12.277161644591505,0.0,3.984877279308862,1019.6915207769918,679.8570647005103,0.31771905253311433,0.10867772256721746,0.0,0.025017747397535504,479.9607943560886,319.98366406485167,0.039167629114506435,0.01332162885634024,0.0,0.0030523210888216894,25999.999999999996,1699.9999999999998,800.0,19661.542138518045,8790.771943426102,31.27380971204332,12.399160996015063,0.0,4.012947347795219,28499.999999999996
2.0,17874.1463564715,7714.170247598459,267.76711844943213,106.36600363785082,0.0,37.55027384275647,1017.0213180107403,678.619261937725,2.8702915140487253,1.1210481970696107,0.0,0.36808034041614335,479.6171977243236,319.84047519262583,0.35753705295724547,0.13926501553792361,0.0,0.045525014555313846,26000.0,1699.9999999999995,799.9999999999999,19370.784872206565,8712.62998472881,270.9949470164381,107.62631685045837,0.0,37.96387919772793,28500.0
3.0,15609.937937379325,7092.808900435397,2100.8549942046297,875.003524335099,0.0,321.39464364554647,994.5880196181497,668.1805564035734,24.068584462221217,9.710008804849844,0.0,3.4528307112058814,476.6982997969722,318.6225116826334,3.0315343698701307,1.2168759991644091,0.0,0.43077815135996494,26000.0,1700.0000000000002,800.0,17081.224256794445,8079.611968521604,2127.9551130367213,885.9304091391132,0.0,325.2782525081123,28500.0
4.0,6233.765955863228,4014.715555203785,8615.135502123241,4901.341932406691,0.0,2235.0410544030533,854.0596209831033,601.057588699441,148.3213050224942,69.07592678157926,0.0,27.485558513382262,457.1271982126596,310.38260127274583,19.974627644840545,9.00985740153149,0.0,3.505715468222525,26000.0,1700.0000000000002,800.0,7544.952775058991,4926.155745175972,8783.431434790577,4979.427716589802,0.0,2266.0323283846583,28500.0
5.0,350.26646543495656,673.6516258922909,7347.32001016896,9497.339691384133,0.0,8131.422207119658,521.3723676603233,426.5300762386393,353.6554796551045,253.4534232505659,0.0,144.98865319536677,397.68209086581453,284.50128079138335,59.660206299300455,38.10449420052377,0.0,20.051927842977875,26000.0,1700.0,800.0,1269.3209239610944,1384.6829829223136,7760.635696123365,9788.897608835225,0.0,8296.462788158004,28500.0
6.0,9.866747448331756,73.67075852093635,2733.43368040637,8033.443818309547,0.0,15149.584995314812,270.127381989819,270.0672839706916,338.221480235636,411.3030397690451,0.0,410.28081403480803,326.2083174064478,251.36719493713912,79.87039699565813,77.51779304016894,0.0,65.03629762058611,26000.0,1699.9999999999995,800.0000000000001,606.2024468445986,595.1052374287672,3151.5255576376644,8522.264651118761,0.0,15624.902106970207,28500.0
7.0,0.667144183423116,13.865099115355225,889.1769520587475,4961.906280288226,0.0,20134.384524354246,156.52195557691724,184.8253778831574,214.96144451498807,408.6151604934065,0.0,735.0760615315306,271.81367141246676,224.2816618155821,71.59256355852425,98.03072629611066,0.0,134.2813769173164,25999.999999999996,1700.0,800.0000000000001,429.0027711728071,422.9721388140947,1175.7309601322597,5468.552167077743,0.0,21003.74196280309,28499.999999999996
8.0,0.1255226518579342,4.921689651709012,283.2771877036579,2696.4942258009683,0.0,23015.181374191805,107.89448193051483,142.71389580767638,117.21193896127028,315.64002799720816,0.0,1016.5396553033303,236.10480148050615,205.3831057544419,53.40555287769659,95.20901734509282,0.0,209.8975225422627,26000.0,1700.0,800.0000000000001,344.1248060628789,353.0186912138273,453.8946795426248,3107.3432711432692,0.0,24241.6185520374,28500.0
9.0,0.04859506667874097,2.732708711644729,89.91003290174379,1375.3468415000518,0.0,24531.96182181988,85.66876782021279,121.57476692171367,60.68186028747494,212.93964715046562,0.0,1219.1349578201327,213.7230235790783,192.9884301846984,36.40527970327993,79.31703258570538,0.0,277.56623394723823,26000.0,1699.9999999999998,800.0000000000002,299.4403864659698,317.2959058180568,186.99717289249867,1667.6035212362228,0.0,26028.66301358725,28500.0
