title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A review of estimated transmission parameters for the spread of avian influenza viruses,"C Kirkeby, MP Ward",2022,32,"… , valid transmission parameters … latent period and the infectious period by virus type, pathogenicity, species, study type and poultry flock unit. We found a large variation in the parameter …",zjx3Rmja8toJ,"C Kirkeby, MP Ward - Transboundary and Emerging Diseases, 2022 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/tbed.14675,unknown,unknown
Transmission parameters of the A/H1N1 (2009) influenza virus pandemic: a review,"PY Boëlle, S Ansart, A Cori…",2011,211,"… , three parameters were highlighted that should be documented quickly in this respect: the incubation period (time between infection and symptoms), the serial interval (time between …",f_FDl2giY_sJ,"PY Boëlle, S Ansart, A Cori… - Influenza and other …, 2011 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1750-2659.2011.00234.x,unknown,unknown
"Estimation of the basic reproductive number (R0) for epidemic, highly pathogenic avian influenza subtype H5N1 spread","MP Ward, D Maftei, C Apostu, A Suru",2009,85,… The incubation period of avian influenza viruses in individual … [26] examined the 1918 pandemic H1N1 outbreak in the city of … Transmission parameters of highly pathogenic avian …,Qy_mMR5J6m4J,"MP Ward, D Maftei, C Apostu, A Suru - Epidemiology & Infection, 2009 - cambridge.org",[],https://www.cambridge.org/core/journals/epidemiology-and-infection/article/estimation-of-the-basic-reproductive-number-r0-for-epidemic-highly-pathogenic-avian-influenza-subtype-h5n1-spread/A60F72F5004F3BC5FAC2A3F8BB188A0F,unknown,unknown
"Comparison of methods to estimate basic reproduction number (R0) of influenza, using Canada 2009 and 2017-18 A (H1N1) data","R Nikbakht, MR Baneshi, A Bahrampour…",2019,53,"… flu” in the years “1918–1919,” “1957–1958,” and “1968–1969,” respectively. [ 2 ] In early 2009, H1N1 influenza … [ 3 , 4 ] The influenza virus can spread among people by direct contact (a …",WcHiRtreGCcJ,"R Nikbakht, MR Baneshi, A Bahrampour… - Journal of Research …, 2019 - journals.lww.com",[],https://journals.lww.com/jrms/fulltext/2019/24000/Comparison_of_methods_to_Estimate_Basic.67.aspx,unknown,unknown
Estimating dynamic transmission model parameters for seasonal influenza by fitting to age and season-specific influenza-like illness incidence,"N Goeyvaerts, L Willem, K Van Kerckhove…",2015,69,"… The transmission parameters (average R 0 , seasonal amplitude and timing of the seasonal … in influenza transmission and our estimates are in line with the classification of influenza …",I1yfGTES3aYJ,"N Goeyvaerts, L Willem, K Van Kerckhove… - Epidemics, 2015 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S175543651500050X,unknown,unknown
Transmissibility and severity of influenza virus by subtype,"JE Park, Y Ryu",2018,119,… of influenza and summarizes them by subtype. The attack rate and incubation period of influenza … better protection against influenza B or influenza A (H1N1) viruses rather than against …,2lzzf2tgCt8J,"JE Park, Y Ryu - Infection, Genetics and Evolution, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1567134818306051,unknown,unknown
Viral kinetics and exhaled droplet size affect indoor transmission dynamics of influenza infection.,"SC Chen, CP Chio, LJ Jou, CM Liao",2009,82,"… The experimental infection study of H1N1 influenza virus … of P and R0, we illustrated the P and R0 values corresponding … volunteer indeed affected the incubation rate and recovery rate …",pTcTFzpHVukJ,"SC Chen, CP Chio, LJ Jou, CM Liao - Indoor Air, 2009 - homepage.ntu.edu.tw",[],http://homepage.ntu.edu.tw/~cmliao/Data/pdf/2009/IndoorAir_2009.pdf,unknown,unknown
Estimates of epidemiological parameters for H5N1 influenza in humans: a rapid review,"J Ward, JW Lambert, TW Russell, JM Azam…",2025,4,"… -adapted to humans including H1N1, H2N2 H3N2, and H1N1pdm09). … To assess how varying transmission parameters influence … We could not identify any estimates of the latent period …",H_4JZensP_AJ,"J Ward, JW Lambert, TW Russell, JM Azam… - BMC infectious …, 2025 - Springer",[],https://link.springer.com/article/10.1186/s12879-025-11933-z,unknown,unknown
Models for influenza,"F Brauer, C Castillo-Chavez, Z Feng",2019,10,"… Also, model parameters for the H1N1 influenza pandemic of 2009, especially the … parameters appropriate for the 1957 influenza pandemic as suggested by [35]. The latent period …",neN-ApuaPKIJ,"F Brauer, C Castillo-Chavez, Z Feng - Mathematical Models in …, 2019 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4939-9828-9_9,unknown,unknown
"Epidemiological parameter review and comparative dynamics of influenza, respiratory syncytial virus, rhinovirus, human coronavirus, and adenovirus","JA Spencer, DP Shutt, SK Moser, H Clegg, HJ Wearing…",2020,61,"… the latent period equals the incubation period, or the mean period of time between exposure to the virus … To calculate R0 for this system, we derive the next generation matrix (Van den …",FM1Y8Hef4soJ,"JA Spencer, DP Shutt, SK Moser, H Clegg, HJ Wearing… - MedRxiv, 2020 - researchgate.net",[],https://www.researchgate.net/profile/Julie-Spencer/publication/339058478_Epidemiological_parameter_review_and_comparative_dynamics_of_influenza_respiratory_syncytial_virus_rhinovirus_human_coronavirus_and_adenovirus/links/5e4551b792851c7f7f349f29/Epidemiological-parameter-review-and-comparative-dynamics-of-influenza-respiratory-syncytial-virus-rhinovirus-human-coronavirus-and-adenovirus.pdf,unknown,unknown
