title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Non-pharmaceutical interventions to reduce influenza transmission in households: a systematic review and meta-analysis,"JY Wong, WW Lim, JK Cheung, C Murphy…",2025,3,"… guidance document on the recommended non-pharmaceutical measures for influenza [5], … that support the effectiveness of these measures in preventing influenza within household …",o7ZFcEid-qcJ,"JY Wong, WW Lim, JK Cheung, C Murphy… - International Journal of …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S120197122400362X,unknown,unknown
Use of non‐pharmaceutical interventions to reduce the transmission of influenza in adults: A systematic review,"SMS Smith, S Sonego, GR Wallen, G Waterer…",2015,82,"… Despite several complex interventions being studied, hand hygiene is likely to be the most effective in reducing rates of influenza transmission, but this is based on very limited data. …",h3QUYJof3VQJ,"SMS Smith, S Sonego, GR Wallen, G Waterer… - …, 2015 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/resp.12541,unknown,unknown
Nonpharmaceutical interventions to prevent viral respiratory infection in community settings: an umbrella review,"H Zhao, S Jatana, J Bartoszko…",2022,19,"… and physical distancing were interventions with inconsistent evidence. Interventions such as … rinses were shown to be effective in reducing the risk of influenza; however, the evidence is …",5X0XrQR-riUJ,"H Zhao, S Jatana, J Bartoszko… - ERJ Open Research, 2022 - publications.ersnet.org",[],https://publications.ersnet.org/content/erjor/8/2/00650-2021.abstract,unknown,unknown
The Economic Value of Non-pharmaceutical Interventions for Influenza and COVID-19: A Systematic Review: HY Yeo et al.,"HY Yeo, TM Hung, N Nghiem, S Albrecht…",2026,0,"… Non-pharmaceutical interventions (NPIs) are central to mitigating COVID-19 and influenza, yet … This systematic review assessed the cost effectiveness and reporting quality of NPI …",9I682usoedMJ,"HY Yeo, TM Hung, N Nghiem, S Albrecht… - … health economics and …, 2026 - Springer",[],https://link.springer.com/article/10.1007/s40258-026-01039-1,unknown,unknown
Non-pharmacological strategies and interventions for effective COVID-19 control: A narrative review,"LS Aho Glele, A de Rougemont",2023,19,"… treatment, and proper ventilation in enclosed spaces. Alongside non-pharmaceutical interventions… increases the risk of nosocomial infections such as influenza [44], we can assume …",nRrU13ex138J,"LS Aho Glele, A de Rougemont - Journal of Clinical Medicine, 2023 - mdpi.com",[],https://www.mdpi.com/2077-0383/12/20/6465,unknown,unknown
"Non-pharmaceutical interventions for pandemic influenza, national and community measures.","D Bell, A Nicoll, K Fukuda, P Horby…",2006,422,… public health interventions recommended by the World Health … of pandemic influenza caused by a novel human influenza … characteristics of influenza viruses and the effectiveness of …,1bauDzfV7MMJ,"D Bell, A Nicoll, K Fukuda, P Horby… - Emerging infectious …, 2006 - europepmc.org",[],https://europepmc.org/article/med/16494723,unknown,unknown
Reduction of acute respiratory infections in day-care by non-pharmaceutical interventions: a narrative review,"L Andrup, KA Krogfelt, L Stephansen…",2024,25,… What evidence is there for the effectiveness of different non-pharmaceutical prevention … three major influenza pandemics caused by emerged subtypes (Table 2). Influenza manifests as …,uj7Kx_vqjP4J,"L Andrup, KA Krogfelt, L Stephansen… - Frontiers in public …, 2024 - frontiersin.org",[],https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1332078/full?utm_source=chatgpt.com,unknown,unknown
Practice of non-pharmaceutical interventions against COVID-19 and reduction of the risk of influenza-like illness: a cross-sectional population-based study,"D Youssef, O Issa, M Kanso, J Youssef…",2022,14,"… While the widespread implementation of the non-pharmaceutical interventions was intended to contain the COVID-19 pandemic, such measures could be also effective in limiting the …",EVynoFWsSO8J,"D Youssef, O Issa, M Kanso, J Youssef… - … Policy and Practice, 2022 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1186/s40545-022-00450-y,unknown,unknown
Non-pharmaceutical interventions implemented to control the COVID-19 were associated with reduction of influenza incidence,"QM Huang, WQ Song, F Liang, BL Ye, ZH Li…",2022,14,"… for influenza vaccine was ~2% in 2018–2019 in China (38). Non-pharmaceutical interventions … effectiveness and delaying vaccine production (13, 14), and be an important adjunct to …",jTenmoSucaAJ,"QM Huang, WQ Song, F Liang, BL Ye, ZH Li… - Frontiers in Public …, 2022 - frontiersin.org",[],https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.773271/full,unknown,unknown
Non-pharmaceutical public health interventions for pandemic influenza: an evaluation of the evidence base,"JE Aledort, N Lurie, J Wasserman, SA Bozzette",2007,516,… the relative merits of non-pharmaceutical interventions by combining available evidence … on the efficacy or effectiveness of most non-pharmaceutical interventions for influenza. In an …,Ke4cWi5NryYJ,"JE Aledort, N Lurie, J Wasserman, SA Bozzette - BMC public health, 2007 - Springer",[],https://link.springer.com/article/10.1186/1471-2458-7-208,unknown,unknown
