title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Transmission of influenza A in a student office based on realistic person-to-person contact and surface touch behaviour,"N Zhang, Y Li",2018,102,"… , influenza A transmission in a graduate student office is simulated via long-range airborne, fomite, and close contact … The inactivation rate ( μ a ) of influenza A in aerosols in the air is …",ErJIWeVwGLkJ,"N Zhang, Y Li - International journal of environmental research and …, 2018 - mdpi.com",[],https://www.mdpi.com/1660-4601/15/8/1699,unknown,unknown
Transmission of viral pathogens in a social network of university students: the eX-FLU study,"PN Zivich, MC Eisenberg, AS Monto…",2020,15,… transmission events for multiple respiratory pathogens in a social contact network of university students… a large social contact network study of students living on a university campus to …,nqmsQzF2ab0J,"PN Zivich, MC Eisenberg, AS Monto… - Epidemiology & …, 2020 - cambridge.org",[],https://www.cambridge.org/core/journals/epidemiology-and-infection/article/transmission-of-viral-pathogens-in-a-social-network-of-university-students-the-exflu-study/4F45CF03D93A2E716F92713B31E6355B,unknown,unknown
"Modeling seasonal influenza outbreak in a closed college campus: impact of pre-season vaccination, in-season vaccination and holidays/breaks","KL Nichol, K Tummers, A Hoyer-Leitzel, J Marsh…",2010,74,"… [17] For our study we assumed a transmission probability of 0.03 given a contact between an … student who becomes ill with symptomatic influenza, we used an infectious contact rate of …",0d7JDkE2NEAJ,"KL Nichol, K Tummers, A Hoyer-Leitzel, J Marsh… - PloS one, 2010 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0009548,unknown,unknown
Construction of the influenza A virus transmission tree in a college-based population: co-transmission and interactions between influenza A viruses,"XS Zhang, D De Angelis",2015,9,… contact network. In this short report we extend this inference method to construct the transmission tree that includes two influenza A … the extent of contact rates between students in two …,cR0yJvXC8sMJ,"XS Zhang, D De Angelis - BMC infectious diseases, 2015 - Springer",[],https://link.springer.com/article/10.1186/s12879-016-1373-x,unknown,unknown
Influence of the H1N1 pandemic on university students' knowledge of influenza.,"EH Schlenker, RL Tschetter…",2013,14,"… individuals they come in contact. For example, Talbot and Talbot mention that although the … rates of college students so that they can make appropriate health decisions in the future. …",KStn6C-T0HgJ,"EH Schlenker, RL Tschetter… - South Dakota …, 2013 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00383317&AN=94829175&h=ExzKETBzuXOLOVfBm6yibKsLXFbU%2Fld2W4oAxlV2o2DuMDAXtuMGzQdT97fChP2TsqmJhD4VW79KzwtJxSme7g%3D%3D&crl=c,unknown,unknown
"Human coronaviruses and other respiratory infections in young adults on a university campus: prevalence, symptoms, and shedding","BM Davis, B Foxman, AS Monto…",2018,66,"… participant and invited social contact, we aimed to … Influenza A/B testing was performed separately on throat and nasal swabs, and participants were considered positive for influenza if …",bp_BRbaVUwgJ,"BM Davis, B Foxman, AS Monto… - Influenza and other …, 2018 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/irv.12563,unknown,unknown
Estimating within-school contact networks to understand influenza transmission,"GE Potter, MS Handcock, IM Longini Jr…",2012,60,"… we simulate contact networks from our model, and we describe our influenza simulation procedure in 3.5. We then compare performance of different variations of the contact network …",taiXZhL53xAJ,"GE Potter, MS Handcock, IM Longini Jr… - The annals of …, 2012 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC3359895/,unknown,unknown
Preventive behaviors and perceptions of influenza vaccination among a university student population,"S Hashmi, L D'Ambrosio, DV Diamond…",2016,29,… behavioral changes during the spread of the H1N1 pandemic … or by telephone and reported influenza-like illness (ILI). The … Percentage of students practicing NPIs with and without ILI at …,brodQPrpcfUJ,"S Hashmi, L D'Ambrosio, DV Diamond… - Journal of Public …, 2016 - academic.oup.com",[],https://academic.oup.com/jpubhealth/article-abstract/38/4/739/2966955,unknown,unknown
H1N1 preventive health behaviors in a university setting,"R Katz, L May, M Sanza, L Johnston…",2012,37,"… and offered to ill students, and phone banks were established … population who became ill with influenza-like illness (ILI), … CDC addressed transmission among students by providing …",0fNAoLP4bboJ,"R Katz, L May, M Sanza, L Johnston… - … of American College …, 2012 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/07448481.2011.570398,unknown,unknown
Influenza in University of Wisconsin students,"AS Evans, EC Dick, K Nystuen",1963,11,"… of prior antigenic experience and in some way limited the spread of virus in the community, thus lowering the over-all attack rate, but that individual susceptibility had not been altered …",p8MCNrA4hEQJ,"AS Evans, EC Dick, K Nystuen - Archives of Environmental Health …, 1963 - Taylor & Francis",[],https://www.tandfonline.com/doi/pdf/10.1080/00039896.1963.10663473,unknown,unknown
