parameter,prcc,abs_prcc,p_value
beta0,0.945126350560886,0.945126350560886,0.0
q_rate,-0.9285879921711823,0.9285879921711823,0.0
online_u,-0.7431601279178719,0.7431601279178719,0.0
gamma,-0.6204703694617218,0.6204703694617218,0.0
disinfect_u,-0.5879561515002888,0.5879561515002888,0.0
v_cov_s,-0.5846439449020888,0.5846439449020888,0.0
q_scale,-0.49698461069072003,0.49698461069072003,0.0
season_amp,0.46047660862324585,0.46047660862324585,2.220446049250313e-16
mask_u,-0.3742419599137142,0.3742419599137142,6.623124271243341e-11
ve_s,-0.317268691602554,0.317268691602554,4.383477314462425e-08
vent_u,-0.24235739587496816,0.24235739587496816,3.544930813004221e-05
club_u,-0.1553992197792355,0.1553992197792355,0.008591521266536617
ve_t,0.1415075287869048,0.1415075287869048,0.016827090314663895
v_cov_t,-0.08343309654882289,0.08343309654882289,0.16008879797461772
ve_l,-0.03852709110397765,0.03852709110397765,0.5171180306019196
v_cov_l,0.02883835053723185,0.02883835053723185,0.6278121052797525
