parameter,prcc,abs_prcc,p_value
beta0,0.9452495872224538,0.9452495872224538,0.0
q_rate,-0.9287619198078646,0.9287619198078646,0.0
online_u,-0.7376982822015838,0.7376982822015838,0.0
gamma,-0.6207821301088736,0.6207821301088736,0.0
disinfect_u,-0.5855902899926007,0.5855902899926007,0.0
v_cov_s,-0.5851945166392867,0.5851945166392867,0.0
q_scale,-0.49710851191848787,0.49710851191848787,0.0
season_amp,0.463843446166611,0.463843446166611,0.0
mask_u,-0.3772921643531205,0.3772921643531205,4.5046855134955877e-11
ve_s,-0.31836283080215494,0.31836283080215494,3.916281565707891e-08
vent_u,-0.2398190044289743,0.2398190044289743,4.301280087348758e-05
club_u,-0.16139865876705559,0.16139865876705559,0.006320501147266011
ve_t,0.1422052565871226,0.1422052565871226,0.016289145626365187
v_cov_t,-0.08393008383279908,0.08393008383279908,0.1576056348460677
ve_l,-0.0382571033261229,0.0382571033261229,0.5200610216555952
v_cov_l,0.03138273666975661,0.03138273666975661,0.5977748010590336
