day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,20789.813346282404,5198.186653717595,6.0,6.0,0.0,0.0,1496.0711389695405,203.92886103045947,0.0,0.0,0.0,0.0,704.0334771621367,95.96652283786328,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,22989.91796241408,5498.0820375859175,6.0,6.0,0.0,0.0,28500.0
1.0,20783.608820790447,5197.224762031079,9.129671891211226,6.803888876514527,1.8349909648405374,1.397865445902529,1495.9678398076983,203.9190748634276,0.08840634573768257,0.0208483022932859,0.0022487829091109184,0.0015818979339809161,704.0168027777314,95.9651022823696,0.014152054528534113,0.0033313219910706066,0.000359021334760812,0.0002525420445307865,26000.0,1699.9999999999998,799.9999999999999,22983.593463375877,5497.108939176876,9.232230291477443,6.828068500798883,1.8375987690844091,1.3996998858810408,28500.0
2.0,20775.98858810563,5196.043243004319,12.280275711623151,8.549733855996474,3.7983862902213956,3.339773032206509,1495.8379849007672,203.90677261439836,0.16370251630278418,0.06610950529793165,0.014338259507058162,0.011092203726716156,703.9955795197343,95.96329417243818,0.02643159828824853,0.010621310536271739,0.002296943424855116,0.0017764555781679169,25999.999999999996,1699.9999999999998,800.0,22975.822152526132,5495.913309791156,12.470409826214183,8.626464671830677,3.8150214931533086,3.3526416915113932,28499.999999999996
3.0,20766.08889213366,5194.508046648047,16.210127620504817,11.061015720562988,6.1068822978496335,6.025035579369717,1495.6656371937377,203.89044416145452,0.2446731063969054,0.12528201236982375,0.04004478066445492,0.033918745376510406,703.9670918461361,95.96086714038026,0.03986955488620216,0.020270688026167803,0.006445413799944407,0.005455356771307486,25999.99999999999,1699.9999999999998,800.0,22965.721621173536,5494.359357949881,16.494670281787926,11.20656842095898,6.153372492314033,6.064409681517534,28499.99999999999
4.0,20753.063164790834,5192.487656888798,21.362641478583956,14.458610919203245,8.94635873421031,9.681567188363026,1495.4355413858896,203.86864368142687,0.3420220681139758,0.19769831162612958,0.08122857753258256,0.07486597541082785,703.9287654109446,95.95760182838697,0.05616983639995006,0.03222090422626805,0.013144203115075982,0.012097816927213349,25999.99999999999,1699.9999999999998,800.0,22952.427471587667,5492.313902398611,21.760833383097882,14.688530135055643,9.040731514857969,9.768530980701067,28499.99999999999
5.0,20735.87023773761,5189.820164706441,28.17896879580949,18.9944119347008,12.531009829991403,14.605206995438133,1495.1290167215288,203.8396003425758,0.46506246748658775,0.2869876930675441,0.13997082644944123,0.1393619488916426,703.8774560093347,95.95323029725495,0.07683282313939202,0.047081609494605804,0.022772951668223643,0.022626309108243578,25999.999999999993,1699.9999999999998,800.0,22934.876710468474,5489.612995346271,28.72086408643547,19.32848123726295,12.693753608109066,14.767195253438018,28499.999999999993
6.0,20713.153618930883,5186.294379461576,37.20615774359323,25.02658002795694,17.130528789055038,21.18873504692816,1494.7216275747762,203.8009972413065,0.6242459545525124,0.39943461601829316,0.2194686964432475,0.2342259169032227,703.809047948193,95.94740178441702,0.10357347027373802,0.0658874043205173,0.035890899002422504,0.03819849379327624,25999.99999999999,1699.9999999999998,800.0,22911.684294453855,5486.042778487299,37.93397716841948,25.49190204829575,17.385888384500706,21.46115945762466,28499.99999999999
7.0,20683.12479237428,5181.631430313929,49.159067998246115,33.03761942330921,23.092566337567504,29.954523552660337,1494.180964785278,203.7497605317955,0.8325905962125698,0.5437623804633328,0.32455045835758034,0.3683712478929525,703.7180741906868,95.93965029694851,0.13855473300206872,0.09007809074686957,0.0533211680844857,0.060321520531255654,25999.999999999996,1700.0000000000002,799.9999999999999,22881.02383135025,5481.320841142673,50.13021332746075,33.671459894519415,23.470437964009573,30.383216321084547,28499.999999999996
8.0,20643.421356483002,5175.462233010374,64.980286469979,43.67146284846584,30.86825989194832,41.596401296223256,1493.463948149882,203.68180266589906,1.1069429819335073,0.7315727463165229,0.4621263356165857,0.5536071203522108,703.5972553404522,95.92935525494,0.18459586658287364,0.12158032246291739,0.0762279664163843,0.09098524914566339,25999.999999999993,1700.0,800.0,22840.482559973338,5475.073390931213,66.27182531849539,44.524615917245285,31.406614193981287,42.24099366572113,28499.999999999993
9.0,20590.924799380147,5167.29828897043,85.91243017367513,57.78613322390233,41.04362459721554,57.03472365462164,1492.5133153889028,203.59168763487563,1.4694247378792378,0.97821979047065,0.6417077331393721,0.8056447147322983,703.436898227445,95.91569011145955,0.2454153904027949,0.16295832168796384,0.10620667871248349,0.13283127029228953,25999.99999999999,1700.0,800.0,22786.875012996497,5466.805666716765,87.62727030195717,58.92731133606095,41.79153900906739,57.973199639646225,28499.99999999999
10.0,20521.525031893914,5156.493511039769,113.58950734253126,76.52478873321289,54.37817701375309,77.48898397681242,1491.252982778092,203.4721876772369,1.949256343679561,1.3041066096860896,0.8760595984815533,1.1454069928238921,703.2240975095596,95.89755408027236,0.32594232594849115,0.21763507897991416,0.14539692031292942,0.18937408492677377,25999.999999999993,1700.0,800.0,22716.002112181566,5455.863252797278,115.86470601215932,78.04653042187888,55.39963353254757,78.82376505456308,28499.999999999993
11.0,20429.818390223045,5142.194477951881,150.15187344381232,101.41063004821935,71.85134255378117,104.57328577925057,1489.5819038580898,203.3136948033656,2.585124746328523,1.7364976961013734,1.182021595760475,1.6007573003542188,702.941671699068,95.87348104260721,0.4327261202159408,0.29020241076791214,0.1966246683065586,0.26529405903432374,25999.999999999993,1700.0000000000002,800.0,22622.3419657802,5441.381653797854,153.16972431035677,103.43733015508863,73.2299888178482,106.4393371386391,28499.999999999993
12.0,20308.725798184903,5123.276121828378,198.38770132428152,134.47313745872538,94.7159413917455,140.42129981195882,1487.365957204451,203.10344048422195,3.4282752189165304,2.3120223865785734,1.5815119277142111,2.2087927781177994,702.5667448856938,95.84151792271017,0.5744803578174439,0.3868525907044188,0.26357664853797935,0.36682759453622527,25999.999999999993,1700.0,800.0,22498.65850027505,5422.22108023531,202.39045690101548,137.17201243600837,96.5610299679977,142.99692018461286,28499.999999999993
13.0,20149.020706681993,5098.259636788195,261.90042813848163,178.41481663528413,124.55567115341097,187.84874060262794,1484.4272809552529,202.8244644253304,4.546531799007793,3.080133229038495,2.1026972851700627,3.0188923062004536,702.0688590398121,95.79906245671161,0.7628034830681396,0.5159808940992128,0.35100583603983526,0.5022882902691617,25999.999999999993,1700.0000000000002,800.0,22335.51684667706,5396.883163670237,267.2097634205575,182.01093075842184,127.00937427462087,191.36992119909755,28499.999999999993
14.0,19938.766179184026,5065.20979359469,345.2937470471911,236.82840336915882,163.33928378907544,250.5625930158501,1480.5303656896497,202.45426033851345,6.029460160156653,4.107888137409906,2.781260097269882,4.096765577000568,701.4074710628391,95.74264745567385,1.013128452814615,0.6890297716340706,0.46495918958443844,0.6827640674540205,25999.999999999993,1700.0000000000002,800.0000000000001,22120.704015936513,5363.406701388878,352.3363356601624,241.6253212782028,166.58550307592978,255.34212266030468,28499.999999999993
15.0,19662.684215675356,5021.610718007636,454.34848662668577,314.4727415390461,213.4571996405348,333.4266385107326,1475.3641770324887,201.96301768740807,7.994830995255016,5.486548627772561,3.661605900469699,5.529819756606145,700.5286595726707,95.66765581349314,1.3459561947253524,0.9216730994624793,0.6130054540786141,0.9230498655698895,25999.99999999999,1700.0000000000005,800.0000000000001,21838.577052280518,5319.241391508537,463.6892738166662,320.8809632662811,217.73181099508312,339.8795081329086,28499.99999999999
