parameter,prcc,abs_prcc,p_value
beta0,0.9424301222160756,0.9424301222160756,0.0
q_rate,-0.9262644454205787,0.9262644454205787,0.0
online_u,-0.758547332970498,0.758547332970498,0.0
vent_u,-0.6504877133633034,0.6504877133633034,0.0
gamma,-0.6199856052322076,0.6199856052322076,0.0
disinfect_u,-0.6027461218965288,0.6027461218965288,0.0
v_cov_s,-0.5969726361651699,0.5969726361651699,0.0
q_scale,-0.5124366072847676,0.5124366072847676,0.0
season_amp,0.4282744041688495,0.4282744041688495,3.8413716652030416e-14
mask_u,-0.38679749111645556,0.38679749111645556,1.3204104476471912e-11
ve_s,-0.3483214371406134,0.3483214371406134,1.495449541977223e-09
club_u,-0.14385283101465066,0.14385283101465066,0.01507814032508814
ve_t,0.10286890643827148,0.10286890643827148,0.08298967782084143
v_cov_t,-0.07432752366678547,0.07432752366678547,0.2109310021331945
ve_l,-0.04297554618059615,0.04297554618059615,0.46989115575506357
v_cov_l,0.015369737924490612,0.015369737924490612,0.7961399132023201
