day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,18185.0,7800.0,5.0,10.0,0.0,0.0,1020.0,680.0,0.0,0.0,0.0,0.0,480.0,320.0,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,19685.0,8800.0,5.0,10.0,0.0,0.0,28500.0
1.0,18051.150348689476,7764.354950497507,118.41396914344244,45.30302673088288,4.827256169671513,15.950448769019847,1018.7852174489489,679.4370484727681,1.2304442289582393,0.4140726209343317,0.03147559057461473,0.1017416378158373,479.84549966482444,319.93562097462825,0.15182648960395803,0.050794287631097744,0.0038418932215428126,0.012416690090832953,26000.0,1700.0,800.0000000000001,19549.78106580325,8763.727619944902,119.79623986200464,45.76789363944831,4.86257365346767,16.06460709692652,28500.0
2.0,17110.579884739855,7510.977918085392,871.1532520690195,337.57310707274326,38.855621863206856,130.860216169785,1009.8671309363338,675.2979605065036,9.540270030298032,3.6163405736032876,0.3875224758049344,1.2907754774563363,478.694083689016,319.45559028319053,1.1922542682360344,0.4502551074037562,0.0479988772381285,0.15981777491572105,26000.0,1699.9999999999998,800.0000000000002,18599.141099365206,8505.731468875087,881.8857763675536,341.63970275375027,39.29114321624992,132.31080942215706,28500.0
3.0,11826.614424646474,5973.733233345334,4866.56059991257,2139.2798249860325,271.61460192376876,922.1973151858169,950.1345937482239,647.2804043716133,63.49109003117021,25.73868357321857,3.052605042171558,10.302623233602556,470.7589081197358,316.1355216247955,8.16156068068608,3.2669262308632323,0.38351286274860846,1.2935704811709023,25999.999999999993,1700.0,800.0000000000001,13247.507926514434,6937.149159341743,4938.213250624427,2168.2854347901143,275.0507198286889,933.7935089005904,28499.999999999993
4.0,2343.794843414228,2189.8892076679767,9153.439815411524,6674.075960945557,1259.1660787261721,4379.6340938345365,724.116144513063,535.9182087969995,236.19219307088196,123.389631245142,18.166907511126034,62.21691486278749,436.5712243620207,301.58424274203173,34.34959051612337,16.94869623847652,2.3881106369402545,8.158135504407504,25999.999999999993,1700.0,800.0,3504.4822122893115,3027.3916592070077,9423.981598998529,6814.414288429175,1279.7210968742384,4450.009144201731,28499.999999999993
5.0,132.7256556786358,369.235118548205,4812.226193137119,7371.663048438022,2832.5137557578037,10481.636228440208,436.5111777047375,376.9889103274171,331.6202730233787,270.24451890438075,62.56067843071187,222.07444160937428,377.1793193236843,275.24321703334226,62.04577461382205,44.19110845272561,9.14482313172074,32.19575744470508,25999.999999999993,1700.0000000000005,800.0,946.4161527070576,1021.4672459089643,5205.892240774319,7686.098675795129,2904.2192573202365,10735.906427494287,28499.999999999993
6.0,11.499851529760688,81.04007960677468,1704.5067688795323,4678.074677587434,3843.5269385609377,15681.351683835554,272.79994769465213,271.9215142767899,252.4580814010317,310.4612513850743,123.9988846275126,468.3603206149395,325.5196151887661,251.03537909787832,62.96115214190316,62.931995510400974,20.719475298127787,76.83238276292367,25999.999999999993,1700.0,800.0,609.819414413179,603.9969729814429,2019.926002422467,5051.467924482909,3988.245298486578,16226.544387213416,28499.999999999993
7.0,2.6077521933655787,32.296525199630906,563.0549340040676,2371.6131879754075,4099.324168059813,18931.103432567706,198.75328349826165,218.20276078849102,149.30617841824568,250.41099746813737,172.77260356018328,710.5541762666811,291.2952606386215,234.19768166246914,48.62025189889107,62.79892165877416,32.74853684688151,130.3393472943627,25999.999999999993,1700.0,800.0000000000001,492.6562963302488,484.6969676505911,760.9813643212043,2684.823107102319,4304.845308466878,19771.99695612875,28499.999999999993
8.0,1.1959702234431622,19.91852251079774,183.60325104726272,1079.505690648305,3908.187162323424,20807.58940324676,165.13416934391105,191.83527665373146,79.81093244607604,167.28411578631068,196.8538998665486,899.0816059034222,270.5419011342636,223.6252252388212,32.8703983816516,51.19544211904596,41.508225581584,180.25880754463375,25999.999999999993,1700.0,800.0000000000002,436.87204070161783,435.3790244033504,296.2845818749904,1297.9852485536617,4146.549287771557,21886.929816694814,28499.999999999993
9.0,0.8154590235961382,15.708680917427321,59.97145760214334,462.4149347714065,3531.6716823225643,21929.417785362853,149.2498455302147,178.81417676313015,40.960593709960435,100.47090265069632,199.8679547206751,1030.6365266253233,258.35859567185287,217.27688531400693,20.70884008257243,36.966080816049754,45.90941015616815,220.78018795934992,25999.999999999993,1700.0,800.0,408.4239002256637,411.79974299456444,121.6408913946762,599.8519182381525,3777.4490471994077,23180.834499947527,28499.999999999993
